id0minerGinvalid0 id1miner6invalid0
id1miner6invalid0 id2miner6invalid0
id1miner6invalid0 id3miner3invalid0
id2miner6invalid0 id4miner6invalid0
id4miner6invalid0 id5miner6invalid0
id4miner6invalid0 id6miner0invalid0
id5miner6invalid0 id7miner6invalid0
id5miner6invalid0 id8miner1invalid0
id5miner6invalid0 id10miner3invalid0
id5miner6invalid0 id11miner9invalid0
id5miner6invalid0 id12miner7invalid0
id6miner0invalid0 id9miner0invalid0
id7miner6invalid0 id13miner6invalid0
id13miner6invalid0 id14miner6invalid1
